Id	Title	Found words	Date	Abstract (beginning)
1825842	D1 and D2 dopamine receptors in human substantia nigra: localization and the effect of aging.	aging	1991-04-??	D1 and D2 receptor densities in human substantia nigra were examined by use of the specific binding of, respectively, [3H]SCH 23390 [R(+)-7-chloro-8-hydroxy-3-[3H]methyl-1-phenyl-2,3,4,5-tetrahydro-1H-3- benzazepine] and [3H]spiperone. A unilateral loss of striato- and pallidonigral pathways by an infarction (n = 4) had no effect on the ipsilateral nigral D2 receptors, but reduced the ipsilateral nigral D1 receptors by 48-60% compared with the intact side. These data suggest that a substantial fraction of D1 receptors in human substantia nigra is located on terminals of striato- and/or pallidonigral neurons, whereas D2 receptors are confined to intrinsic nigral cells. We also examined the effect of aging on the D1 and D2 receptors in substantia nigra obtained from 25 postmortem human brains (age range 19-88 years). The densities of both receptor types were not affected by the aging process. Since nigrostriatal dopaminergic neurons degenerate with aging, these results suggest either tha…
10435774	The effect of age and pre-light melatonin concentration on the melatonin sensitivity to dim light.	aging	1999-05-??	The hormone melatonin is secreted at night from the pineal gland, with light being a potent inhibitor of its secretion. Age related decreases in plasma melatonin concentrations have indicated that this may be related to pineal calcification with aging. Recently, it was shown that the melatonin sensitivity to light may be a biological marker of bipolar disorder. However, on average, patients were older than the control group in most studies, and it is not known if age has an effect on the melatonin suppression by light. To test this hypothesis, the present study investigated the effect of age on the melatonin sensitivity to dim light (200 lux). Participants were grouped into three age groups. On the testing night, they were placed in a dark room from 21.00 h to 02.30 h. Light exposure was for an hour from midnight to 01.00 h. Blood samples were collected at regular intervals for measurement of plasma melatonin. No significant differences were found in the percentage suppression of melat…
12589778	Loss of melanin from human RPE with aging: possible role of melanin photooxidation.	aging	2003-01-??	The pigment melanin, which is believed to play a photoprotective role, was quantified here in human RPE cells from donors of different age. Electron spin resonance (ESR) spectroscopy was shown to provide a quantitative measure of melanin and was used as a non-destructive measure of melanin content. Results indicated an age-related melanin loss in RPE cells, with melanin content diminishing 2.5-fold between the first and the ninth decade of life. To determine whether photo-oxidation may contribute to age-related changes in RPE melanin, RPE in human eyecups, isolated human and bovine RPE cells, purified melanin granules, or synthetic dopa melanin were irradiated with various wavelengths and intensities of visible light. Samples were analysed for changes in melanin content by ESR spectroscopy, and by absorption and emission spectrophotometry. The concentration of hydrogen peroxide was measured in some samples, and some human eyecups were examined by transmission electron microscopy. Irrad…
27761888	A lifelong competitive training practice attenuates age-related lipid peroxidation.	aging	2017-02-??	The effect of exercise-induced oxidative stress on health and aging is not clearly explained. This study examined the effects of habitual sport practice, age, and submaximal exercise on the blood markers of oxidative stress, muscle damage, and antioxidant response. Seventy-two healthy men were grouped by their habitual sport practice: inactive (<1.5 h/week), recreational (3-8 h/week), and trained athletes (>8 h/week), and further divided by age: young (18-25 years), adult (40-55 years), and senior (>55 years). Blood samples were collected at rest and after submaximal effort. Hydroperoxides and superoxide dismutase, glutathione peroxidase, and catalase activities were measured by spectrophotometry. Nuclear DNA damage was analyzed by comet assay. The alpha-actin release was analyzed by Western blot. Alpha-tocopherol, retinol, and coenzyme-Q10 were quantified by high-performance liquid chromatography analysis. Data was analyzed through a factorial ANOVA and the Bonferroni post hoc test. L…
21746736	Age-related striatal dopaminergic denervation and severity of a slip perturbation.	aging	2011-09-??	BACKGROUND: Striatal dopamine activity declines with normal aging. Age-related striatal dopaminergic denervation (SDD) has been implicated in standing balance and unperturbed gait. The goal of this study was to analyze the association between the degree of SDD and the magnitude of an unexpected slip perturbation induced during gait.    METHODS: Fifty healthy participants aged 20-86 years old underwent dopamine transporter positron emission tomography to classify SDD severity as mild, moderate, or severe. Participants also walked on a floor that was unexpectedly contaminated with a glycerol solution for gait testing. The magnitude of a slip was quantified using the peak slip velocity (PSV), measured at the slipping foot. Data were analyzed for both fast (greater than 1.2 m/s) and slow walkers as gait speed correlated with slip severity. All data analyses were age adjusted.    RESULTS: Greater severity of dopaminergic denervation in the caudate nucleus was correlated with higher PSV (p <…
29096226	Comparing the loss of functional independence of older adults in the U.S. and China.	longevity	2018-01-??	BACKGROUND: Functional loss among older adults is known to follow a hierarchical sequence, but little is known about whether such sequences differ across socio-cultural contexts. The aim of this study is to construct activities of daily livings (ADL) scales for oldest-old adults in the United States and China so as to compare their functional loss sequences.    METHODS: We use data from the Asset and Health Dynamics of the Oldest Old (n=1607) and Chinese Longitudinal Healthy Longevity Survey (n=5570) for years 1998-2008. ADL items are calibrated within a scale using the Rasch measurement model. Rasch scores are averaged across survey waves to identify the ADL loss sequence for each study population. We also assess scale stability over measurement periods.    RESULTS: Factor analyses confirm that the ADL items in each study population can be combined meaningfully to form a hierarchical sequence. Internal consistency assessed by Cronbach's alpha is high (0.81 to 0.95). We find that bathi…
22483339	Serum oxidized low-density lipoprotein level and risk of cognitive impairment in older women.	aging	2013-02-??	We investigated the association between serum level of oxidized low-density lipoprotein (oxLDL) and risk of cognitive impairment (dementia or mild cognitive impairment) among 572 nondemented community-dwelling women from a prospective cohort study of aging. After 5 years of follow-up, 228 (39.9%) developed cognitive impairment; and this did not differ by tertile of baseline oxLDL level (highest compared with lowest tertile 38.2% vs. 39.5%; odds ratio, 0.90; 95% confidence interval, 0.63-1.43). Multivariate adjustment produced similar results (odds ratio, 0.91; 95% confidence interval, 0.60-1.39). These findings suggest that increased levels of serum oxLDL are not associated with a greater risk of incident cognitive impairment in older women.
12903065	Growth and aging of facial soft tissues: A computerized three-dimensional mesh diagram analysis.	aging	2003-09-??	The normal growth, development, and aging of facial soft tissues was studied by three-dimensional (3D) computerized mesh diagram analysis. The 3D coordinates of 50 soft-tissue landmarks were collected from 591 healthy white northern Italians (351 males, 240 females) 6-40 years of age. For each gender and age class, mean values were computed, and a standardized mesh of equidistant horizontal, vertical, and anterior-posterior lines was constructed. Within each age group, male meshes were superimposed on female meshes. For each gender, the 6-year-old reference mesh was superimposed on the reference mesh of each age group. The global (size plus shape) difference was evaluated by calculating the relevant displacement vectors for each landmark. Consequently, a size normalization was carried out and the shape difference was evaluated by calculating new relevant displacement vectors for each landmark. Growth and development were different along the three spatial planes: the largest increment w…
26633310	A Population-based Investigation of Circadian Rhythm of Intraocular Pressure in Habitual Position Among Healthy Subjects: The Handan Eye Study.	aging	2016-??-??	PURPOSE: (1) To investigate the reference value of peak-trough difference in circadian rhythm of intraocular pressure (IOP) in habitual position and (2) to compare the IOP parameters among 3 age groups.    MATERIALS AND METHODS: Habitual IOP of healthy subjects sampled from the population in the Handan Eye Study was measured every 2 hours in the seated position during light-wake period (7:30 AM, 9:30 AM, 11:30 AM, 1:30 PM, 3:30 PM, 5:30 PM, 7:30 PM, 9:30 PM) and in the supine position during dark-sleep period (11:30 PM, 1:30 AM, 3:30 AM, 5:30 AM). Blood pressure and heart rate were obtained subsequently at each IOP measurement.    RESULTS: Two hundred six healthy subjects were included in the final analyses (n=20, 30 to 39 y old; n=95, 40 to 49 y old; n=91, 50 to 59 y old). For peak-trough difference (7.2±2.3 mm Hg; 6.8 to 7.5 mm Hg, 95% confidence interval) in habitual position, the reference value was described as median 7.0 mm Hg, 25th percentile 5.5 mm Hg, and 95th percentile 11.5 …
10848126	The effect of race and health-related factors on naming and memory. The MacArthur Studies of Successful Aging.	aging	2000-02-??	OBJECTIVES: The purpose of the analyses was to examine the impact of health-related variables on race differences in neuropsychological functioning (Boston Naming Task).    METHODS: Using cross-sectional data from the MacArthur Successful Aging Study, the authors examined the relationship of demographic characteristics, health status, health habits, physical functioning, and speed of performance to naming and incidental recall of items from the Boston Naming Task.  Participants were 1,175 healthy African American and European American older persons 70 to 79 years old.    RESULTS: Regression analyses indicated that although race differences persisted for confrontational naming after controlling for demographic and health factors, there was no effect due to race for incidental recall scores or for savings scores for recall.    DISCUSSION: The racial differences found in test performance may reflect differences in cultural appropriateness of the material rather than differences in ability…
1893901	Peak anaerobic power in master athletes.	aging	1991-??-??	The age-related decline in maximal physical performance of healthy subjects may be attributed both to the aging process per se and/or to a progressive reduction in physical activity. In two groups of master athletes, power (P) or endurance (E) trained (n = 115; aged 40-78 years), the degree and rate of the age-related deterioration of the maximal instantaneous muscle power (peak power, Wpeak), and the relative contribution of quantitative (muscle mass) and qualitative factors possibly underlying such deterioration were determined. Two groups of young athletes (n = 20; 17-26 years) and healthy untrained subjects (U, n = 37; 22-67 years) were also tested for comparison. The following two variables were assessed, firstly the lower limb muscle plus bone volume (LMV) by anthropometry, and secondly Wpeak, by means of a standardized vertical jump off both feet, performed on a force platform. The results obtained were that LMV of E and P, as well as of U, was about the same between age 20 and …
25670334	Stuck in default mode: inefficient cross-frequency synchronization may lead to age-related short-term memory decline.	aging	2015-04-??	Aging-related decline in short-term memory capacity seems to be caused by deficient balancing of task-related and resting state brain networks activity; however, the exact neural mechanism underlying this deficit remains elusive. Here, we studied brain oscillatory activity in healthy young and old adults during visual information maintenance in a delayed match-to-sample task. Particular emphasis was on long range phase:amplitude coupling of frontal alpha (8-12 Hz) and posterior fast oscillatory activity (>30 Hz). It is argued that through posterior fast oscillatory activity nesting into the excitatory or the inhibitory phase of frontal alpha wave, long-range networks can be efficiently coupled or decoupled, respectively. On the basis of this mechanism, we show that healthy, elderly participants exhibit a lack of synchronization in task-relevant networks while maintaining synchronized regions of the resting state network. Lacking disconnection of this resting state network is predictive…
26650255	The Effect of Aging and the High-Frequency Auditory Threshold on Speech-Evoked Mismatch Negativity in a Noisy Background.	aging	2016-??-??	Mismatch negativity (MMN) has been widely used to study the function of central auditory processing in the elderly. However, current research has not yet considered the effect of noise and high-frequency hearing threshold on MMN in the elderly. The aim of this study was to evaluate the effect of aging and high-frequency hearing loss on speech-related MMN in noisy backgrounds. Additionally, the possible mechanisms of central auditory processing dysfunction in the elderly were investigated. Fifty people aged 61-80 (70 ± 5.8) years were recruited for this study. They were divided into a 61- to 70-year-old group and a 71- to 80-year-old group. Fifty younger adults aged 21-40 (31 ± 5.3) years were recruited as healthy controls. Pure-tone hearing thresholds were recorded. A speech discrimination score (SDS) and a speech-evoked MMN under white noise with a bandwidth from 125 to 8,000 Hz background condition were recorded. The relationships between SDS and MMN latency and amplitude were analyz…
11528342	Influence of age on thirst and fluid intake.	aging	2001-09-??	Independently living older adults (over the age of 65 yr) consume adequate volumes of fluids on a daily basis. However, when challenged by fluid deprivation, a hyperosmotic stimulus, or exercise in a warm environment (all of which combine hypovolemia and hyperosmolality), older adults exhibit decreased thirst sensation and reduced fluid intake. Full fluid restoration eventually occurs, but full restoration of fluid balance is slowed. The aging process alters important physiological control systems associated with thirst and satiety. Recent evidence suggests that older men and women (i) have a higher baseline osmolality and thus a higher osmotic operating point for thirst sensation (with little or no change in sensitivity), and (ii) exhibit diminished thirst and satiety in response to the unloading (hypovolemia) and loading (hypervolemia) of baroreceptors. A diminished sensation of thirst in the elderly relative to young adults is generally absent when a volume stimulus is absent, despi…
17311079	Aging effects on cerebral blood and cerebrospinal fluid flows.	aging	2007-09-??	Phase-contrast magnetic resonance imaging (PC-MRI) is a noninvasive reliable technique, which enables quantification of cerebrospinal fluid (CSF) and total cerebral blood flows (tCBF). Although it is used to study hydrodynamic cerebral disorders in the elderly group (hydrocephalus), there is no published evaluation of aging effects on both tCBF and CSF flows, and on their mechanical coupling. Nineteen young (mean age 27+/-4 years) and 12 elderly (71+/-9 years) healthy volunteers underwent cerebral MRI using 1.5 T scanner. Phase-contrast magnetic resonance imaging pulse sequence was performed at the aqueductal and cervical levels. Cerebrospinal fluid and blood flow curves were then calculated over the cardiac cycle, to extract the characteristic parameters: mean and peak flows, their latencies, and stroke volumes for CSF (cervical and aqueductal) and vascular flows. Total cerebral blood flow was (P<0.01) decreased significantly in the elderly group when compared with the young subjects …
26253187	Changes in Standing and Walking Performance Under Dual-Task Conditions Across the Lifespan.	lifespan	2015-12-??	Simultaneous performance of a postural and a concurrent task is rather unproblematic as long as the postural task is executed in an automatic way. However, in situations where postural control requires more central processing, cognitive resources may be exceeded by the addition of an attentionally demanding task. This may lead to interference between the two tasks, manifested in a decreased performance in one or both tasks (dual-task costs). Owing to changes in attentional demands of postural tasks as well as processing capacities across the lifespan, it might be assumed that dual-task costs are particularly pronounced in children and older adults probably leading to a U-shaped pattern for dual-task costs as a function of age. However, these changes in the ability of dual-tasking posture from childhood to old age have not yet been systematically reviewed. Therefore, Web of Science and PubMed databases were searched for studies comparing dual-task performance with one task being standin…
7724047	Age-dependent increases of immunoreactive imidazoline receptors in the human brain: possible association of a 29/30 kDa protein with the I2-imidazoline receptor identified by [3H]idazoxan.	aging	1995-01-23	In the postmortem human brain (15 specimens of frontal cortex), the immunodetection and quantification of imidazoline receptor (IR) proteins (29/30 and 47 kDa) and the specific binding of [3H]idazoxan to I2-IR were determined in parallel to study the effect of aging (range 3-89 years) on these proteins and its possible association. The immunoreactivity of the 29/30 kDa IR protein, similar to the I2-IR, showed a significant positive correlation with the age of the subjects at death (r = 0.54; P = 0.04). Moreover, the levels of this IR protein also correlated significantly with the density of I2-IR in the brain of the same subjects (r = 0.67; P = 0.01). It is suggested that the I2-IR labeled by [3H]idazoxan in the human brain is related to the 29/30 kDa IR protein identified by immunoblot analysis.
16383249	Age-related variations in peak cerebrospinal fluid velocities in the foramen magnum.	aging	2005-12-??	OBJECT: Measurements of cerebrospinal fluid (CSF) velocities in the foramen magnum are used to determine the functional significance of Chiari malformation Type I (CM-I). Significantly higher peak velocities are found in adult patients with CM-I than in adult control participants. In addition, it appears that higher CSF velocities are found in pediatric patients with CM-I than in adult patients. Variations in CSF velocities across age groups in healthy individuals, however, have not been systematically studied.    METHODS: Phase-contrast magnetic resonance imaging was performed in 10 pediatric patients after induction of anesthesia to evaluate conditions thought not to affect CSF flow in the foramen magnum. The peak systolic and diastolic velocities were plotted with respect to age and compared with velocities obtained in a group of 10 healthy adult volunteers. Differences between the adult and pediatric groups were tested for significance by using the Student t-test. Peak velocities r…
8219229	Lymphocyte subsets and natural killer cell activity in healthy old people and centenarians.	longevity, aging	1993-11-01	The contribution of the immune system to healthy aging and longevity is still an open question. For this reason, several immune parameters (T, B, and natural killer [NK] cell subsets; non-major histocompatibility complex [MHC]-restricted cytotoxic activities, ie, natural and redirected killing [RDK] activities) were studied in a total of 138 healthy subjects of different ages, from 4 to 106 years of age, including 26 centenarians. The major age-related modifications were the following: (1) a decrease in the absolute number of T lymphocytes (CD3+), involving both CD4+ and CD8+ subsets, accompanied by a marked concomitant increase in the number of activated T cells (CD3+, HLA-DR+); (2) a marked decrease in the number of B lymphocytes (CD19+); and (3) an increase in the number of cells with markers of NK activity and of T lymphocytes able to mediate non-MHC-restricted cytotoxicity. These modifications linearly progressed with age and centenarians followed the trend, suggesting that their …
23624491	Age-related differences in memory-encoding fMRI responses after accounting for decline in vascular reactivity.	aging	2013-09-??	BOLD fMRI has provided a wealth of information about the aging brain. A common finding is that posterior regions of the brain manifest an age-related decrease in activation while the anterior regions show an age-related increase. Several neurocognitive models have been proposed to interpret these findings. However, one issue that has not been sufficiently considered to date is that the BOLD signal is based on vascular responses secondary to neural activity. Thus the above findings could be in part due to a vascular change, especially in view of the expected decline of vascular health with age. In the present study, we aim to examine age-related differences in memory-encoding fMRI response in the context of vascular aging. One hundred and thirty healthy subjects ranging from 20 to 89 years old underwent a scene-viewing fMRI task and, in the same session, cerebrovascular reactivity (CVR) was measured in each subject using a CO2-inhalation task. Without accounting for the influence of vas…
15310734	Zinc supplementation reduces fractional zinc absorption in young and elderly korean women.	aging	2004-08-??	BACKGROUND: Adjustments in zinc losses and absorption are thought to maintain zinc homeostasis with changes in intake, but the capacity to make these adjustments appears to be affected by aging. Zinc status of the individual may also influence adjustments in fractional zinc absorption.    OBJECTIVE: The purpose of this study was to compare the effects of changes in zinc status due to zinc supplementation on fractional zinc absorption in young and elderly Korean women.    DESIGN: Zinc status and absorption were measured initially in 15 young (20-24 yr) and 15 elderly women (64-75 yr) confined to a metabolic unit and consuming a typical Korean diet. Upon discharge from the unit the women were supplemented with 22 mg zinc/d for 28 days. On d 20, the women returned to the unit for measurement of zinc status and absorption. Fractional zinc absorption (FZA) was estimated from the same typical Korean breakfast at both time points using the dual isotopic tracer method. Zinc stable isotopic rat…
8872642	Role of aerobic capacity and body mass index in the age-associated decline in heart rate variability.	aging	1996-08-??	The extent to which age-associated changes in aerobic capacity and body composition modulate the age-associated decline in heart rate variability (HRV) is unknown. We therefore measured HRV, peak O2 consumption (VO2peak) during treadmill testing, and relative weight (body mass index; BMI) in 164 healthy normotensive adults (75 men, age 20-87 yr) from the Baltimore Longitudinal Study on Aging. Two components of HRV, respiratory sinus arrhythmia (RSA; 0.12-0.40 Hz) and 0.10-Hz variability (0.06-0.10 Hz), were extracted from 8-min electrocardiogram recordings in the supine, seated, and standing postures. RSA, 0.10-Hz variability, and VO2peak varied inversely with age; BMI was unrelated to age. Age contributed 15.5-21.1% independent variance to RSA and 13.2-17.3% independent variance to 0.10-Hz HRV. VO2peak did not contribute significantly to RSA or 0.10-Hz HRV beyond the effect of age in any posture. There were no consistent independent contributions of BMI to HRV. Thus, in this populatio…
1365846	Homeostasis between lipid peroxidation and antioxidant enzyme activities in healthy human aging.	aging	1992-11-??	In healthy people the plasma malondialdehyde increases with age, however there is a simultaneous rise in the activities of glucose-6-phosphate dehydrogenase and 6-phosphogluconate dehydrogenase in red blood cells, although both enzymes show a biphasic behaviour, that is, reaching the lowest values at 40-50 years of age to rise remarkably later on. No significant changes were found in the case of glutathione peroxidase but the age-dependent behaviour is similar to the other enzymes mentioned above. The activity of glutathione reductase shows a clear increase depending on age, up to middle age, with or without flavin adenine dinucleotide. We conclude that the increase in the activities of the anti-oxidant enzymes of the red blood cells during aging, could be interpreted as a positive feedback mechanism in response to rising lipid peroxidation. Consequently, from the point of view of the parameters used the homeostasis between the production of free radicals and anti-oxidant systems seems…
6496592	Cardiorespiratory efficiency at submaximal work in young and middle-aged women.	aging	1984-11-15	Seventeen middle-aged women and 26 younger women were studied while walking at 3 mph and a 5% grade on a motorized treadmill. This was submaximal work for all subjects and is equivalent to the intensity of everyday activity. The middle-aged women had a significantly greater oxygen uptake, ventilatory equivalent, and heart rate, suggesting a relative cardiorespiratory inefficiency at this submaximal work intensity. This phenomenon is most likely a function of body size, however, since dividing the submaximal oxygen uptake by body weight rendered the mean difference between the two groups statistically insignificant. The age-associated reduction in cardiorespiratory efficiency at submaximal exercise is thus due primarily to weight gain rather than to actual systems degeneration. Maximal oxygen uptake, that associated with maximal physical effort, was significantly reduced in the older subjects, and this is probably due to a combination of previous life-style habits and aging.
8340244	P300 component of the event-related potentials (ERP) during an attention task: effects of age, stimulus modality and event probability.	aging	1993-05-??	The effects of age, stimulus modality and event probability on event-related potentials (ERP) were studied in 12 young and 12 elderly healthy subjects. The ERP were recorded from 15 electrodes referred to linked ears. Results showed that both amplitude and latency of the P300 component are affected by aging. Study of the latency of the earlier ERP components in the two age groups revealed that the P300 delay was not imputable to a delay of the earlier components. P300 amplitude and latency were also affected by event probability and stimulus modality: infrequent stimulus involved higher and later P300, but this effect was more pronounced in the young than in the old group; higher and later P300 were also recorded during the visual task compared to the auditory. Topographical repartition of the brain wave revealed a predominance of the central sites (Fz, Cz, Pz). The findings are discussed in relation to the sensitivity of the ERP assessment procedures in age related modifications of in…
10911945	Mitochondrial oxidative stress and aging in the filamentous fungus Podospora anserina.	aging	2000-06-??	In the filamentous fungus Podospora anserina, mitochondrial oxidative stress is a major contributor to aging. Reactive oxygen species (ROS) generated as a result of electron leakage during respiration lead to damage of components of the electron transport chain. In aging wild-type cultures, damaged proteins cannot be replaced because the mitochondrial genes encoding some of the corresponding subunits gradually become deleted from the mitochondrial DNA (mtDNA). Consequently, these defects result in an increased generation of reactive oxygen species and respiration deficits leading to cell death. Analyses of wild-type strains and of different long-lived mutants of P. anserina provide strong evidence that molecular mechanisms controlling aging processes in this fungus are complex and act at different levels. A basic mechanism (e.g., damage by ROS) appears to be overlaid by prominent instabilities of the mtDNA.
23603446	Training-induced cerebral changes in the elderly.	aging	2014-??-??	As the demographic shift towards an aging population prevails, the improvement and/or maintenance of cognitive functioning appear increasingly important. To date, the effectiveness of cognitive, cardiovascular and sensorimotor training approaches in older adults has been demonstrated frequently using neuropsychological and behavioral performance measures. We present an overview of selected studies applying modern imaging techniques (fMRI, PET) to assess practice-induced structural and functional changes in the brain. Structurally, practice is associated with volumetric increases. Functionally, reorganization of neural network recruitment, overall decreases and increases in activity levels are found. Thus, the human brain retains a high degree of plasticity in old age. Moreover, it seems that practice leads to more efficient processing, requiring less neural engagement to perform the same task. While the concept of economization finds widespread support in healthy populations, in patien…
2536646	Calpain II in human lens.	aging	1989-02-??	The purposes of the current study were to: determine if human lenses contain calpain II (EC.34.22.17) activity, measure the effect of aging and anatomical location on lens calpain II activity, and determine if human lenses contain the endogenous calpain inhibitor calpastatin. Both enzymatic and immunologic assays indicated that human lenses contained calpain II activity. Calpain II activity was highest in the cortex of lenses from young donors, and lowest in the nucleus of aged lenses, where it was sometimes nondetectable. In some cases, calpain II activity persisted in the nucleus of lenses from donors greater than 70 years of age. Human lenses also contained endogenous calpain inhibitor (calpastatin) in excess over calpain enzymatic activity. Calpastatin activity did not decrease during aging. Although human lenses contained approximately 3% of the calpain activity found in rat lenses, calpain II may still be a major endopeptidase in human lenses. Demonstration of calpain II in human…
2721973	Heart rate and blood pressure reactivity during active coping with a mental task in healthy 18- to 73-year-old subjects.	aging	1989-??-??	Alterations with aging in the responses of heart rate (HR) and blood pressure (BP) reactivity were investigated during mild mental stress induced by undergoing a psychometric test, in 52 women and men aged 18-73 years, with no history of cardiovascular, renal or neurological deficits. HR and BP responses were measured before, during and after the test. Resting HR and diastolic BP (DBP) were not age-related while resting systolic BP (SBP) was. HR and SBP were increased during test performance. HR reactivity, measured during task execution as well as during recovery, was significantly decreased in older subjects. DBP recovery variation was lowered with age. These results indicate that age is an important determinant of the magnitude of cardiovascular adjustment during minor mental stress in women and men.
23597737	Estimation of age using aspartic acid racemisation in human dentin in Indian population.	aging	2013-05-10	AIM: The quest to identify an accurate method of age estimation, had lead to the evaluation of aspartic acid racemisation in hard tissues of the human remains using high performance liquid chromatography (HPLC). Our study is aimed at the applicability of the racemisation technique to use dentin as the sample to estimate the age in South Indian sub-population.    MATERIALS AND METHODS: Thirty-six non-carious teeth from living individuals distributed among 6 age groups (6 each), sexes (18 each) and jaws (18 each) were analysed for dextro (d) and levo (l) forms of aspartic acid using high performance liquid chromatography (HPLC) technique and their racemisation ratio were calculated for each tooth sample.    RESULTS: High correlation was obtained between the aspartic acid racemisation rates in dentin and age of the individual with an error limited to ±3 years. Racemisation rates in teeth did not significantly differ between the sexes or jaws.    CONCLUSION: The d-aspartic acid accumulatio…
9374744	Age effects on interrelationships between lung volume and heart rate during standing.	aging	1997-??-??	To determine the effects of aging and posture on the relationship between respiration and heart rate (HR), we collected 5 min of lung volume and R-R interval data from 7 young (27 +/- 3 yr, mean +/- SD) and 10 old (69 +/- 6 yr) healthy humans during spontaneous breathing while they were supine (SU) and standing (ST). Lung volume and HR power spectra and transfer functions between lung volume and HR were estimated. Age and position effects and age-position interactions were determined by analysis of variance for repeated measures. Older subjects had a lower and more variable respiration rate (P < 0.03, P < 0.04), but both age groups exhibited decreased rate of respiration and increased tidal volume with ST (P < 0.05, P < 0.005). ST decreased lung volume-to-HR transfer function magnitude in both groups (P < 0.07). The more marked age-related differences were in phase angle. Both SU and ST phase angles were greater in older subjects (P < 0.003). ST decreased phase angle in young but incre…
1825740	Effects of aging on left ventricular structure and function.	aging	1991-03-??	To better characterize the cardiac structural and functional changes that are associated with aging, Doppler-echocardiography was performed on 23 young (mean age, 25 years) and 30 old (mean age, 70 years) healthy normotensive subjects. Left ventricular cavity dimensions and wall thickness were determined and left ventricular mass index was calculated from M-mode echocardiograms. Stroke volume was calculated from Doppler-measured aortic flow. Diastolic filling was evaluated by pulsed Doppler echocardiography of mitral inflow. Posterior wall thickness (1.0 vs 0.8 cm, p less than 0.05) and relative wall thickness (0.42 vs 0.35, p less than .05) were significantly greater in the elderly subjects compared with the younger subjects. Left ventricular mass index increased on average 0.25 gm/m2/yr but was not significantly increased in the elderly compared with the younger subjects (89 vs 77 gm/m2). Shortening fraction and stroke volume did not differ between the two groups. Diastolic filling w…
3589328	Effect of aging on sleep-related changes in respiratory variables.	aging	1987-04-??	Several respiratory variables were examined in 11 healthy elderly (greater than 60 years) and 12 younger (30-39 years) control subjects during all-night sleep runs, with a view to determining the effect of the aging process on breathing during sleep. O2 saturation, end-tidal PCO2, and transcutaneous PCO2 were monitored, together with standard sleep staging measures. Estimates of tidal volume (Vt) and ventilation (Ve) were obtained using a Respitrace inductive plethysmography system, from which respiratory rate (fb) was also measured. Older subjects had more sleep apnea/hypopnea than younger subjects, an incidence of 55 versus 8%, respectively. More of their arousals were associated with respiratory disturbance than those of the younger subjects, and they had more brief, but not longer, arousals. Mean O2 saturation was lower in older subjects during wakefulness but did not decrease more in older subjects than in control subjects during sleep. Mean end-tidal/transcutaneous PCO2 did not d…
24132650	Epigenetics components of aging in the central nervous system.	aging	2013-10-??	This review highlights recent discoveries that have shaped the emerging viewpoints in the field of epigenetic influences in the central nervous system (CNS), focusing on the following questions: (i) How is the CNS shaped during development when precursor cells transition into morphologically and molecularly distinct cell types, and is this event driven by epigenetic alterations?; ii) How do epigenetic pathways control CNS function?; (iii) What happens to "epigenetic memory" during aging processes, and do these alterations cause CNS dysfunction?; (iv) Can one restore normal CNS function by manipulating the epigenome using pharmacologic agents, and will this ameliorate aging-related neurodegeneration? These and other still unanswered questions remain critical to understanding the impact of multifaceted epigenetic machinery on the age-related dysfunction of CNS.
21536055	Age-related changes in brain activation underlying single- and dual-task performance: visuomanual drawing and mental arithmetic.	aging	2011-07-??	Depending on task combination, dual-tasking can either be performed successfully or can lead to performance decrements in one or both tasks. Interference is believed to be caused by limitations in central processing, i.e. structural interference between the neural activation patterns associated with each task. In the present study, single- and dual-task effects were addressed in the context of aging. Increasing evidence from research on motor and cognitive tasks has shown that aging is associated with an expansion of brain activation and an increased BOLD-signal. This may result in increased structural interference and higher dual-task interference in older adults. Functional magnetic resonance imaging was used to measure the BOLD-response in 20 old and 20 young healthy adults while performing tasks separately, or combined. Single tasks consisted of mental arithmetic cued by auditory tones, and a visuomotor task, drawing a circular shape with spatiotemporal constraints. Age-related bra…
28624521	Semanticized autobiographical memory and the default - executive coupling hypothesis of aging.	aging	2018-??-??	As we age, the architecture of cognition undergoes a fundamental transition. Fluid intellectual abilities decline while crystalized abilities remain stable or increase. This shift has a profound impact across myriad cognitive and functional domains, yet the neural mechanisms remain under-specified. We have proposed that greater connectivity between the default network and executive control regions in lateral prefrontal cortex may underlie this shift, as older adults increasingly rely upon accumulated knowledge to support goal-directed behavior. Here we provide direct evidence for this mechanism within the domain of autobiographical memory. In a large sample of healthy adult participants (n = 103 Young; n = 80 Old) the strength of default - executive coupling reliably predicted more semanticized, or knowledge-based, recollection of autobiographical memories in the older adult cohort. The findings are consistent with the default - executive coupling hypothesis of aging and identify this …
24325897	Are glycans the Holy Grail for biomarkers of aging?	aging	2014-07-??	Posttranslational modifications of circulating proteins such as immunoglobulins may prove to be important biomarkers of aging.
